P_Id,Colour
1518329,White
10711448,White
14964708,Orange
13552234,Black
17663032,Orange
12866574,Maroon
17662986,Green
15514526,Navy Blue
14447434,White
13041774,Pink
10588018,White
14447530,Pink
17663034,Off White
996728,Beige
14160408,Silver
10487070,Off White
18652504,Yellow
14160340,White
12866552,Orange
17662850,Gold
17662820,Maroon
996729,White
12047844,Beige
15043152,Maroon
17662882,Red
10358133,Red
18207362,Black
18207274,Pink
17662918,White
18068014,Red
12967844,Black
1518333,White
13552264,Pink
1852518,Red
18652572,Olive
18976780,Blue
10358153,White
14160344,Olive
14447462,Green
12889076,Navy Blue
9260667,Beige
17663042,Beige
17662996,Orange
14160382,Navy Blue
17662896,Fuchsia
12889112,Blue
17545288,Beige
17545302,Green
18068038,Purple
17662860,Red
11414708,Gold
13552284,Green
15038338,Turquoise Blue
18207290,Green
12967786,White
15043266,Gold
17662972,Sea Green
17663018,Mustard
17663008,Cream
19171304,Pink
18273212,Cream
11497192,Black
13616844,Grey
12025092,Beige
17662984,Orange
10487098,White
12889038,Orange
18976786,Beige
6177369,Grey
17662834,White
14447532,Cream
15043242,Pink
15038324,White
2452459,Cream
18273226,Green
10487110,Black
15991910,Black
14447490,Beige
1442725,Magenta
15991956,Brown
15043258,Sea Green
2170210,Cream
15043252,Grey
18652526,Peach
11631678,Yellow
12967812,Black
11631714,Red
15991994,Navy Blue
9452599,Beige
7241433,White
7241415,Maroon
7241410,Blue
1791172,White
17662818,Fuchsia
15799304,Peach
15799298,Black
18207268,Purple
18207328,Gold
18207322,Green
10435910,Beige
17662886,Fuchsia
11514822,Blue
19171288,Beige
14447488,Brown
1411010,Beige
15514560,Beige
15514544,Fuchsia
18652592,Maroon
1411015,Red
15514614,Red
18207372,Black
7241416,Yellow
6581971,Blue
13041764,Red
10711482,Sea Green
14160400,White
18652574,Black
18273188,Burgundy
9260663,Blue
13552260,Red
17545290,Red
2452454,Beige
15799338,Maroon
15991912,White
11497226,Red
1087795,Beige
18976806,Green
17662884,Gold
12967738,Beige
1087802,Multi
11514856,Off White
6581979,Red
15799376,Rust
15799262,Orange
10831868,Pink
18976824,Red
11514850,Maroon
6581990,Rust
10711478,Red
15043248,Yellow
18273228,Red
11065080,Orange
11414716,Pink
996701,Yellow
12889044,Beige
4444074,Red
11514810,Red
12889082,Black
6177430,Red
10358159,White
18976784,Beige
18273224,Pink
18273208,Cream
8663125,Off White
15799314,Navy Blue
7689347,Cream
2452468,Multi
2452447,Multi
12967756,Peach
15043172,Red
13616810,Red
14447520,Red
12047840,Sea Green
12967782,Purple
14447502,Sea Green
18652578,Black
12889018,Black
7241429,Blue
18068074,Olive
17662826,Beige
12967838,Charcoal
5829334,Mustard
14955068,Mauve
11489658,Blue
11697268,White
12178124,Blue
5829327,Coral
8593785,Maroon
11987092,Navy Blue
13757350,Charcoal
15202818,Green
2322605,Blue
12279352,Blue
11991214,Mustard
17640612,Blue
12178108,Blue
9477715,Black
11688420,Blue
2319517,Blue
11991426,Mustard
11489530,Blue
15202916,Mauve
16835110,Blue
16835204,Grey
14332328,Lavender
12279300,Blue
13984202,Green
12278652,Navy Blue
13298978,Off White
11991442,Peach
8803831,Navy Blue
2319515,Blue
13346740,Black
16835178,Grey
13710708,Blue
16833782,Purple
13315186,Blue
12712588,Olive
12069736,Blue
16833812,Purple
11531732,Blue
14331986,Blue
14331424,Purple
14991304,Black
13339532,Blue
14356160,Pink
14535816,Navy Blue
14535756,Olive
16835312,Blue
5447351,Navy Blue
14535940,Blue
12069738,Blue
13710342,Blue
16833826,Green
11541604,Blue
14331606,Black
14094106,Navy Blue
14536032,Olive
15333114,Blue
9478873,Olive
15333126,Rose
9478817,Off White
15088232,Navy Blue
14535772,Charcoal
17358398,Off White
14954474,Blue
14535820,Pink
14535860,Pink
13601350,Maroon
14535802,Grey
14535748,Grey
16835242,Blue
11991456,Pink
13334362,Pink
14535914,Blue
